simulação,mês,faturamento mensal
2039,Mês 02,76381.86
2040,Mês 02,80183.82
2041,Mês 02,76416.49
2042,Mês 02,61913.19
2043,Mês 02,93318.80
2044,Mês 02,64539.97
2045,Mês 02,98289.10
2046,Mês 02,73362.54
2047,Mês 02,79484.40
2048,Mês 02,78773.46
2049,Mês 02,79145.98
2050,Mês 02,77076.83
2051,Mês 02,85959.63
2052,Mês 02,89107.01
2053,Mês 02,85637.15
2054,Mês 02,66510.50
2055,Mês 02,68527.48
2056,Mês 02,78724.99
2057,Mês 02,74842.16
2058,Mês 02,91854.81
2059,Mês 02,75306.72
2060,Mês 02,81299.62
2061,Mês 02,78139.74
2062,Mês 02,82253.25
2063,Mês 02,74882.04
2064,Mês 02,83529.28
2065,Mês 02,74651.57
2066,Mês 02,79606.39
2067,Mês 02,78333.73
2068,Mês 02,66541.20
2069,Mês 02,67220.87
2070,Mês 02,79986.92
2071,Mês 02,89300.86
2072,Mês 02,88070.61
2073,Mês 02,66862.81
2074,Mês 02,64923.19
2075,Mês 02,69179.48
2076,Mês 02,59305.61
2077,Mês 02,82535.93
2078,Mês 02,81530.35
2079,Mês 02,76147.11
2080,Mês 02,84775.28
2081,Mês 02,76367.36
2082,Mês 02,68577.25
2083,Mês 02,91749.33
2084,Mês 02,89677.79
2085,Mês 02,72656.79
2086,Mês 02,70536.89
2087,Mês 02,76941.81
2088,Mês 02,77310.47
2089,Mês 02,75399.41
2090,Mês 02,96179.60
2091,Mês 02,84860.32
2092,Mês 02,80549.76
2093,Mês 02,74020.51
2094,Mês 02,85051.51
2095,Mês 02,90539.85
2096,Mês 02,91241.77
2097,Mês 02,78417.85
2098,Mês 02,89451.55
2099,Mês 02,67908.89
2100,Mês 02,81136.02
2101,Mês 02,69624.08
2102,Mês 02,65463.94
2103,Mês 02,81173.23
2104,Mês 02,96223.58
2105,Mês 02,79377.69
2106,Mês 02,92061.15
2107,Mês 02,85379.84
2108,Mês 02,98173.68
2109,Mês 02,82640.22
2110,Mês 02,66130.30
2111,Mês 02,61557.83
2112,Mês 02,92465.96
2113,Mês 02,89844.85
2114,Mês 02,74299.89
2115,Mês 02,67725.41
2116,Mês 02,86535.97
2117,Mês 02,65560.73
2118,Mês 02,95697.20
2119,Mês 02,79288.51
2120,Mês 02,87628.33
2121,Mês 02,82000.34
2122,Mês 02,66660.78
2123,Mês 02,70310.38
2124,Mês 02,66061.96
2125,Mês 02,93292.56
2126,Mês 02,97363.24
2127,Mês 02,97744.19
2128,Mês 02,83085.90
2129,Mês 02,78436.25
2130,Mês 02,85128.20
2131,Mês 02,72273.15
2132,Mês 02,98915.80
2133,Mês 02,77532.37
2134,Mês 02,88834.93
2135,Mês 02,84085.16
2136,Mês 02,74510.45
2137,Mês 02,84574.69
2138,Mês 02,98559.79
2139,Mês 02,100897.15
2140,Mês 02,94332.82
2141,Mês 02,75997.12
2142,Mês 02,80430.84
2143,Mês 02,67787.13
2144,Mês 02,68598.39
2145,Mês 02,69492.77
2146,Mês 02,68179.38
2147,Mês 02,85028.85
2148,Mês 02,82848.16
2149,Mês 02,49446.82
2150,Mês 02,83676.56
2151,Mês 02,87600.76
2152,Mês 02,78631.57
2153,Mês 02,68188.50
2154,Mês 02,109566.92
2155,Mês 02,84461.71
2156,Mês 02,68367.60
2157,Mês 02,74361.30
2158,Mês 02,79455.12
2159,Mês 02,81362.23
2160,Mês 02,69356.69
2161,Mês 02,93335.67
2162,Mês 02,70122.33
2163,Mês 02,78360.50
2164,Mês 02,84324.43
2165,Mês 02,93230.09
2166,Mês 02,92226.25
2167,Mês 02,76882.96
2168,Mês 02,80771.58
2169,Mês 02,95120.49
2170,Mês 02,89159.96
2171,Mês 02,78846.14
2172,Mês 02,71654.59
2173,Mês 02,80904.25
2174,Mês 02,97890.89
2175,Mês 02,95770.75
2176,Mês 02,79125.98
2177,Mês 02,88095.46
2178,Mês 02,63915.99
2179,Mês 02,81368.46
2180,Mês 02,72022.25
2181,Mês 02,70828.03
2182,Mês 02,83218.70
2183,Mês 02,78914.57
2184,Mês 02,77534.26
2185,Mês 02,85979.49
2186,Mês 02,72128.53
2187,Mês 02,78757.12
2188,Mês 02,74892.68
2189,Mês 02,77131.27
2190,Mês 02,75978.31
2191,Mês 02,87787.40
2192,Mês 02,86114.13
2193,Mês 02,88199.01
2194,Mês 02,80093.91
2195,Mês 02,65463.66
2196,Mês 02,82061.87
2197,Mês 02,76173.48
2198,Mês 02,75069.48
2199,Mês 02,75299.02
2200,Mês 02,73316.32
2201,Mês 02,103250.55
2202,Mês 02,77543.47
2203,Mês 02,89802.79
2204,Mês 02,78085.95
2205,Mês 02,69069.23
2206,Mês 02,80909.04
2207,Mês 02,83160.78
2208,Mês 02,78516.21
2209,Mês 02,72290.46
2210,Mês 02,108076.51
2211,Mês 02,81910.80
2212,Mês 02,75424.46
2213,Mês 02,64289.48
2214,Mês 02,71341.31
2215,Mês 02,70777.75
2216,Mês 02,90156.47
2217,Mês 02,72736.45
2218,Mês 02,74544.32
2219,Mês 02,91822.35
2220,Mês 02,79070.92
2221,Mês 02,81859.61
2222,Mês 02,87438.24
2223,Mês 02,72572.81
2224,Mês 02,79278.97
2225,Mês 02,72225.52
2226,Mês 02,81126.79
2227,Mês 02,78933.18
2228,Mês 02,82249.44
2229,Mês 02,94469.10
2230,Mês 02,71600.37
2231,Mês 02,70550.44
2232,Mês 02,81789.56
2233,Mês 02,71500.33
2234,Mês 02,85421.79
2235,Mês 02,82253.93
2236,Mês 02,68752.69
2237,Mês 02,76727.25
2238,Mês 02,81878.42
2239,Mês 02,74160.46
2240,Mês 02,84591.89
2241,Mês 02,69647.69
2242,Mês 02,98772.21
2243,Mês 02,80031.85
2244,Mês 02,86183.52
2245,Mês 02,84673.80
2246,Mês 02,75289.46
2247,Mês 02,62416.46
2248,Mês 02,75192.43
2249,Mês 02,100704.58
2250,Mês 02,69599.65
2251,Mês 02,91640.34
2252,Mês 02,78495.14
2253,Mês 02,78696.06
2254,Mês 02,94184.85
2255,Mês 02,71344.37
2256,Mês 02,75857.95
2257,Mês 02,80558.86
2258,Mês 02,86926.51
2259,Mês 02,81369.10
2260,Mês 02,72185.09
2261,Mês 02,85242.03
2262,Mês 02,53656.82
2263,Mês 02,83073.36
2264,Mês 02,72622.77
2265,Mês 02,78721.33
2266,Mês 02,76106.80
2267,Mês 02,65564.12
2268,Mês 02,71896.59
2269,Mês 02,81995.94
2270,Mês 02,80256.60
2271,Mês 02,86915.16
2272,Mês 02,61452.14
2273,Mês 02,98086.63
2274,Mês 02,87999.04
2275,Mês 02,94009.15
2276,Mês 02,92816.05
2277,Mês 02,81807.44
2278,Mês 02,70236.48
2279,Mês 02,72635.72
2280,Mês 02,68248.67
2281,Mês 02,79413.89
2282,Mês 02,71783.98
2283,Mês 02,72344.42
2284,Mês 02,60385.80
2285,Mês 02,73759.05
2286,Mês 02,79607.32
2287,Mês 02,100392.02
2288,Mês 02,97147.85
2289,Mês 02,88752.29
2290,Mês 02,73632.56
2291,Mês 02,77692.34
2292,Mês 02,70296.50
2293,Mês 02,86060.85
2294,Mês 02,70915.30
2295,Mês 02,83976.17
2296,Mês 02,109612.84
2297,Mês 02,90100.16
2298,Mês 02,88934.16
2299,Mês 02,79002.75
2300,Mês 02,61943.67
2301,Mês 02,71949.89
2302,Mês 02,60201.79
2303,Mês 02,72881.44
2304,Mês 02,56510.34
2305,Mês 02,67958.49
2306,Mês 02,81069.07
2307,Mês 02,73637.20
2308,Mês 02,77909.01
2309,Mês 02,73744.62
2310,Mês 02,72798.12
2311,Mês 02,81947.75
2312,Mês 02,87927.65
2313,Mês 02,69122.31
2314,Mês 02,79699.29
2315,Mês 02,85341.79
2316,Mês 02,70623.23
2317,Mês 02,87257.08
2318,Mês 02,63987.64
2319,Mês 02,76031.20
2320,Mês 02,90901.21
2321,Mês 02,92330.51
2322,Mês 02,76644.17
2323,Mês 02,84584.98
2324,Mês 02,78619.68
2325,Mês 02,88382.24
2326,Mês 02,80075.39
2327,Mês 02,80291.81
2328,Mês 02,74988.71
2329,Mês 02,80048.62
2330,Mês 02,101510.24
2331,Mês 02,74547.26
2332,Mês 02,67784.25
2333,Mês 02,102203.52
2334,Mês 02,86425.50
2335,Mês 02,97961.47
2336,Mês 02,95189.93
2337,Mês 02,76084.01
2338,Mês 02,71705.26
2339,Mês 02,79274.38
2340,Mês 02,67986.26
2341,Mês 02,84304.43
2342,Mês 02,78323.45
2343,Mês 02,84986.39
2344,Mês 02,69006.11
2345,Mês 02,70375.00
2346,Mês 02,81853.43
2347,Mês 02,73892.21
2348,Mês 02,76365.98
2349,Mês 02,63631.59
2350,Mês 02,70824.22
2351,Mês 02,91530.33
2352,Mês 02,82329.42
2353,Mês 02,83679.01
2354,Mês 02,86580.37
2355,Mês 02,70484.08
2356,Mês 02,60299.95
2357,Mês 02,83518.20
2358,Mês 02,72738.58
2359,Mês 02,66850.54
2360,Mês 02,77852.13
2361,Mês 02,77801.21
2362,Mês 02,86052.00
2363,Mês 02,65288.47
2364,Mês 02,69436.61
2365,Mês 02,60493.03
2366,Mês 02,88942.41
2367,Mês 02,87798.85
2368,Mês 02,69946.04
2369,Mês 02,80997.62
2370,Mês 02,83354.87
2371,Mês 02,68637.30
2372,Mês 02,69314.12
2373,Mês 02,79362.57
2374,Mês 02,80819.69
2375,Mês 02,81924.18
2376,Mês 02,77280.96
2377,Mês 02,81002.62
2378,Mês 02,77188.75
2379,Mês 02,74234.27
2380,Mês 02,85521.79
2381,Mês 02,68140.58
2382,Mês 02,96899.20
2383,Mês 02,77543.17
2384,Mês 02,67525.71
2385,Mês 02,83960.46
2386,Mês 02,89854.32
2387,Mês 02,86883.34
2388,Mês 02,84304.03
2389,Mês 02,81828.49
2390,Mês 02,70693.50
2391,Mês 02,73054.93
2392,Mês 02,66488.94
2393,Mês 02,71279.31
2394,Mês 02,88683.04
2395,Mês 02,69645.08
2396,Mês 02,80505.05
2397,Mês 02,68235.42
2398,Mês 02,76081.17
2399,Mês 02,86116.70
2400,Mês 02,65299.66
2401,Mês 02,69282.65
2402,Mês 02,86470.04
2403,Mês 02,85135.56
2404,Mês 02,72613.55
2405,Mês 02,80743.13
2406,Mês 02,85979.87
2407,Mês 02,74772.17
2408,Mês 02,67791.12
2409,Mês 02,75797.18
2410,Mês 02,81312.28
2411,Mês 02,78816.61
2412,Mês 02,89537.11
2413,Mês 02,80635.16
2414,Mês 02,69993.10
2415,Mês 02,69602.82
2416,Mês 02,78559.99
2417,Mês 02,92581.83
2418,Mês 02,88159.22
2419,Mês 02,76398.92
2420,Mês 02,71254.51
2421,Mês 02,78061.51
2422,Mês 02,79373.18
2423,Mês 02,76430.42
2424,Mês 02,74574.24
2425,Mês 02,73633.41
2426,Mês 02,90551.28
2427,Mês 02,86119.49
2428,Mês 02,76496.34
2429,Mês 02,90687.96
2430,Mês 02,76646.09
2431,Mês 02,77472.69
2432,Mês 02,71661.01
2433,Mês 02,77095.37
2434,Mês 02,85271.20
2435,Mês 02,86801.01
2436,Mês 02,82561.67
2437,Mês 02,67225.95
2438,Mês 02,76739.71
2439,Mês 02,85766.50
2440,Mês 02,76481.51
2441,Mês 02,59665.49
2442,Mês 02,88985.27
2443,Mês 02,92179.13
2444,Mês 02,90000.77
2445,Mês 02,76261.26
2446,Mês 02,73886.20
2447,Mês 02,74522.83
2448,Mês 02,73894.65
2449,Mês 02,76521.95
2450,Mês 02,97344.00
2451,Mês 02,78533.93
2452,Mês 02,94927.23
2453,Mês 02,82999.56
2454,Mês 02,90281.62
2455,Mês 02,86541.38
2456,Mês 02,96700.22
2457,Mês 02,91078.40
2458,Mês 02,87018.22
2459,Mês 02,71448.82
2460,Mês 02,78521.27
2461,Mês 02,72424.11
2462,Mês 02,66756.12
2463,Mês 02,72017.04
2464,Mês 02,84641.70
2465,Mês 02,89152.87
2466,Mês 02,100328.71
2467,Mês 02,77765.83
2468,Mês 02,84953.48
2469,Mês 02,68484.81
2470,Mês 02,64221.13
2471,Mês 02,73084.03
2472,Mês 02,84374.79
2473,Mês 02,62251.55
2474,Mês 02,86965.94
2475,Mês 02,84656.18
2476,Mês 02,79705.29
2477,Mês 02,65689.03
2478,Mês 02,77832.12
2479,Mês 02,92827.14
2480,Mês 02,82258.98
2481,Mês 02,75524.23
2482,Mês 02,80119.28
2483,Mês 02,79835.65
2484,Mês 02,77477.23
2485,Mês 02,75359.64
2486,Mês 02,71654.70
2487,Mês 02,72484.16
2488,Mês 02,73019.66
2489,Mês 02,69780.16
2490,Mês 02,76978.70
2491,Mês 02,84013.81
2492,Mês 02,99765.77
2493,Mês 02,73669.86
2494,Mês 02,87357.93
2495,Mês 02,73607.54
2496,Mês 02,93915.52
2497,Mês 02,61607.25
2498,Mês 02,80109.75
2499,Mês 02,66589.53
2500,Mês 02,96029.64
2501,Mês 02,69450.14
2502,Mês 02,75970.60
2503,Mês 02,82320.14
2504,Mês 02,89785.60
2505,Mês 02,80492.50
2506,Mês 02,89046.88
2507,Mês 02,80444.97
2508,Mês 02,62053.08
2509,Mês 02,67827.40
2510,Mês 02,71106.00
2511,Mês 02,76770.62
2512,Mês 02,95177.62
2513,Mês 02,64089.46
2514,Mês 02,93348.74
2515,Mês 02,83497.93
2516,Mês 02,74367.84
2517,Mês 02,87446.49
2518,Mês 02,87148.60
2519,Mês 02,100292.97
2520,Mês 02,90029.10
2521,Mês 02,78606.30
2522,Mês 02,98596.47
2523,Mês 02,74538.17
2524,Mês 02,74330.50
2525,Mês 02,79666.41
2526,Mês 02,79860.26
2527,Mês 02,90938.95
2528,Mês 02,77511.07
2529,Mês 02,87314.83
2530,Mês 02,84534.21
2531,Mês 02,89049.20
2532,Mês 02,72240.96
2533,Mês 02,90998.69
2534,Mês 02,76664.38
2535,Mês 02,71608.53
2536,Mês 02,77749.95
2537,Mês 02,78423.17
2538,Mês 02,78891.51
2539,Mês 02,90689.43
2540,Mês 02,81613.55
2541,Mês 02,76925.68
2542,Mês 02,79291.41
2543,Mês 02,76817.98
2544,Mês 02,97545.73
2545,Mês 02,76832.34
2546,Mês 02,81333.84
2547,Mês 02,93359.61
2548,Mês 02,78032.36
2549,Mês 02,96100.29
2550,Mês 02,83611.82
2551,Mês 02,86666.75
2552,Mês 02,75975.82
2553,Mês 02,81945.51
2554,Mês 02,75691.54
2555,Mês 02,70867.93
2556,Mês 02,62144.98
2557,Mês 02,83762.05
2558,Mês 02,89261.71
2559,Mês 02,106333.84
2560,Mês 02,97522.73
2561,Mês 02,77786.29
2562,Mês 02,95055.07
2563,Mês 02,83073.64
2564,Mês 02,85401.36
2565,Mês 02,96692.75
2566,Mês 02,70773.27
2567,Mês 02,64973.88
2568,Mês 02,86998.71
2569,Mês 02,72135.16
2570,Mês 02,81051.62
2571,Mês 02,81979.72
2572,Mês 02,80410.34
2573,Mês 02,76000.43
2574,Mês 02,73950.38
2575,Mês 02,79880.99
2576,Mês 02,77047.84
2577,Mês 02,98150.64
2578,Mês 02,92195.01
2579,Mês 02,93522.81
2580,Mês 02,101734.83
2581,Mês 02,73846.67
2582,Mês 02,73437.07
2583,Mês 02,88121.38
2584,Mês 02,78967.04
2585,Mês 02,89091.18
2586,Mês 02,62671.61
2587,Mês 02,81809.65
2588,Mês 02,91604.73
2589,Mês 02,69698.83
2590,Mês 02,71904.45
2591,Mês 02,92741.18
2592,Mês 02,95993.92
2593,Mês 02,88305.31
2594,Mês 02,74773.51
2595,Mês 02,84469.35
2596,Mês 02,75313.92
2597,Mês 02,81384.06
2598,Mês 02,72303.83
2599,Mês 02,86039.09
2600,Mês 02,91836.69
2601,Mês 02,83294.01
2602,Mês 02,77424.98
2603,Mês 02,81784.42
2604,Mês 02,83474.89
2605,Mês 02,88850.43
2606,Mês 02,66183.20
2607,Mês 02,75483.52
2608,Mês 02,82302.68
2609,Mês 02,77506.43
2610,Mês 02,90584.67
2611,Mês 02,66583.48
2612,Mês 02,82786.68
2613,Mês 02,79165.18
2614,Mês 02,73629.19
2615,Mês 02,71267.43
2616,Mês 02,69176.01
2617,Mês 02,75918.55
2618,Mês 02,62450.48
2619,Mês 02,80201.91
2620,Mês 02,97020.21
2621,Mês 02,85513.69
2622,Mês 02,72149.66
2623,Mês 02,78453.05
2624,Mês 02,83210.21
2625,Mês 02,87775.36
2626,Mês 02,69859.75
2627,Mês 02,86452.45
2628,Mês 02,66311.60
2629,Mês 02,67964.04
2630,Mês 02,78009.88
2631,Mês 02,71098.04
2632,Mês 02,72024.42
2633,Mês 02,88762.46
2634,Mês 02,91308.32
2635,Mês 02,88877.57
2636,Mês 02,78822.71
2637,Mês 02,76986.12
2638,Mês 02,69126.59
2639,Mês 02,84000.51
2640,Mês 02,77477.10
2641,Mês 02,63191.03
2642,Mês 02,71392.56
2643,Mês 02,81262.18
2644,Mês 02,83622.09
2645,Mês 02,78258.32
2646,Mês 02,70503.53
2647,Mês 02,81149.36
2648,Mês 02,89202.59
2649,Mês 02,95228.62
2650,Mês 02,77061.85
2651,Mês 02,89756.26
2652,Mês 02,81337.42
2653,Mês 02,100095.40
2654,Mês 02,73446.49
2655,Mês 02,76432.20
2656,Mês 02,66832.31
2657,Mês 02,106246.27
2658,Mês 02,74517.98
2659,Mês 02,77599.22
2660,Mês 02,62264.27
2661,Mês 02,79679.42
2662,Mês 02,86228.23
2663,Mês 02,87882.80
2664,Mês 02,70625.39
2665,Mês 02,67240.33
2666,Mês 02,68030.63
2667,Mês 02,101868.01
2668,Mês 02,66766.56
2669,Mês 02,71643.32
2670,Mês 02,72640.74
2671,Mês 02,69853.89
2672,Mês 02,70631.66
2673,Mês 02,82475.69
2674,Mês 02,63161.50
2675,Mês 02,75595.99
2676,Mês 02,105305.25
2677,Mês 02,68115.64
2678,Mês 02,58256.57
2679,Mês 02,72221.97
2680,Mês 02,93410.34
2681,Mês 02,80058.24
2682,Mês 02,65938.25
2683,Mês 02,59122.84
2684,Mês 02,92339.14
2685,Mês 02,72917.66
2686,Mês 02,75497.33
2687,Mês 02,88319.09
2688,Mês 02,72128.54
2689,Mês 02,84405.67
2690,Mês 02,87909.75
2691,Mês 02,68001.24
2692,Mês 02,88514.11
2693,Mês 02,77069.99
2694,Mês 02,86772.12
2695,Mês 02,85261.11
2696,Mês 02,76432.44
2697,Mês 02,91754.36
2698,Mês 02,83278.21
2699,Mês 02,76328.63
2700,Mês 02,82393.81
2701,Mês 02,73728.94
2702,Mês 02,78795.12
2703,Mês 02,87878.04
2704,Mês 02,72587.54
2705,Mês 02,79944.60
2706,Mês 02,84397.78
2707,Mês 02,80686.78
2708,Mês 02,68257.78
2709,Mês 02,83718.62
2710,Mês 02,65889.32
2711,Mês 02,60257.93
2712,Mês 02,91777.18
2713,Mês 02,81851.26
2714,Mês 02,68989.33
2715,Mês 02,69538.56
2716,Mês 02,75917.35
2717,Mês 02,88058.01
2718,Mês 02,63654.54
2719,Mês 02,66898.14
2720,Mês 02,67394.34
2721,Mês 02,78415.63
2722,Mês 02,89365.50
2723,Mês 02,84312.54
2724,Mês 02,87152.62
2725,Mês 02,92901.93
2726,Mês 02,71121.09
2727,Mês 02,80763.83
2728,Mês 02,77646.98
2729,Mês 02,84258.61
2730,Mês 02,79153.64
2731,Mês 02,92300.73
2732,Mês 02,95702.92
2733,Mês 02,75034.11
2734,Mês 02,84276.44
2735,Mês 02,74721.85
2736,Mês 02,78255.16
2737,Mês 02,72024.36
2738,Mês 02,84050.05
2739,Mês 02,75701.06
2740,Mês 02,72816.51
2741,Mês 02,85703.92
2742,Mês 02,91568.52
2743,Mês 02,73604.69
2744,Mês 02,87452.51
2745,Mês 02,76876.76
2746,Mês 02,91765.52
2747,Mês 02,79174.12
2748,Mês 02,91151.68
2749,Mês 02,67154.35
2750,Mês 02,50029.27
2751,Mês 02,87032.01
2752,Mês 02,98858.91
2753,Mês 02,65919.11
2754,Mês 02,95581.66
2755,Mês 02,75149.68
2756,Mês 02,95688.36
2757,Mês 02,69003.11
2758,Mês 02,64821.05
2759,Mês 02,90158.76
2760,Mês 02,74788.29
2761,Mês 02,89104.27
2762,Mês 02,86510.08
2763,Mês 02,70732.61
2764,Mês 02,88379.69
2765,Mês 02,61404.55
2766,Mês 02,93783.23
2767,Mês 02,86075.78
2768,Mês 02,75970.49
2769,Mês 02,78688.17
2770,Mês 02,67731.23
2771,Mês 02,82863.88
2772,Mês 02,92611.06
2773,Mês 02,83833.58
2774,Mês 02,92067.35
2775,Mês 02,91016.75
2776,Mês 02,69055.19
2777,Mês 02,85663.24
2778,Mês 02,82624.26
2779,Mês 02,94891.65
2780,Mês 02,69702.76
2781,Mês 02,81677.06
2782,Mês 02,79925.24
2783,Mês 02,66101.17
2784,Mês 02,69383.10
2785,Mês 02,74651.54
2786,Mês 02,94840.16
2787,Mês 02,96680.28
2788,Mês 02,76245.16
2789,Mês 02,71581.44
2790,Mês 02,84127.85
2791,Mês 02,97918.87
2792,Mês 02,73084.86
2793,Mês 02,69327.45
2794,Mês 02,79057.34
2795,Mês 02,60413.95
2796,Mês 02,92863.07
2797,Mês 02,76008.35
2798,Mês 02,68412.15
2799,Mês 02,78013.19
2800,Mês 02,79998.97
2801,Mês 02,72141.82
2802,Mês 02,71428.33
2803,Mês 02,72493.43
2804,Mês 02,72813.30
2805,Mês 02,77243.69
2806,Mês 02,87304.11
2807,Mês 02,52255.23
2808,Mês 02,87888.24
2809,Mês 02,96356.30
2810,Mês 02,79258.34
2811,Mês 02,84777.16
2812,Mês 02,81853.15
2813,Mês 02,92508.94
2814,Mês 02,90361.89
2815,Mês 02,69110.83
2816,Mês 02,96475.55
2817,Mês 02,71332.55
2818,Mês 02,73056.24
2819,Mês 02,88841.77
2820,Mês 02,77716.34
2821,Mês 02,84614.60
2822,Mês 02,85858.91
2823,Mês 02,88865.81
2824,Mês 02,83018.53
2825,Mês 02,96513.12
2826,Mês 02,77508.69
2827,Mês 02,79995.61
2828,Mês 02,67959.69
2829,Mês 02,72782.84
2830,Mês 02,91755.24
2831,Mês 02,77252.61
2832,Mês 02,99411.11
2833,Mês 02,84271.85
2834,Mês 02,73303.15
2835,Mês 02,69173.30
2836,Mês 02,72045.93
2837,Mês 02,76167.85
2838,Mês 02,84618.11
2839,Mês 02,75816.35
2840,Mês 02,61741.86
2841,Mês 02,80506.11
2842,Mês 02,86955.74
2843,Mês 02,78723.60
2844,Mês 02,78068.58
2845,Mês 02,74594.04
2846,Mês 02,82209.27
2847,Mês 02,97892.66
2848,Mês 02,86753.88
2849,Mês 02,64781.92
2850,Mês 02,73626.72
2851,Mês 02,83364.21
2852,Mês 02,55694.34
2853,Mês 02,91838.04
2854,Mês 02,64733.21
2855,Mês 02,88068.25
2856,Mês 02,65303.44
2857,Mês 02,89800.83
2858,Mês 02,75327.14
2859,Mês 02,71660.14
2860,Mês 02,77692.97
2861,Mês 02,84615.44
2862,Mês 02,72387.58
2863,Mês 02,71187.49
2864,Mês 02,76235.33
2865,Mês 02,70696.24
2866,Mês 02,77603.53
2867,Mês 02,64616.64
2868,Mês 02,69811.39
2869,Mês 02,82448.20
2870,Mês 02,89669.03
2871,Mês 02,79980.15
2872,Mês 02,62334.71
2873,Mês 02,69396.08
2874,Mês 02,77427.81
2875,Mês 02,84493.35
2876,Mês 02,67338.98
2877,Mês 02,100337.83
2878,Mês 02,53512.08
2879,Mês 02,95470.33
2880,Mês 02,65135.52
2881,Mês 02,73263.53
2882,Mês 02,82024.18
2883,Mês 02,74243.26
2884,Mês 02,70818.00
2885,Mês 02,71216.60
2886,Mês 02,92980.07
2887,Mês 02,82494.42
2888,Mês 02,91069.41
2889,Mês 02,91144.80
2890,Mês 02,88218.70
2891,Mês 02,85239.13
2892,Mês 02,78446.33
2893,Mês 02,76631.51
2894,Mês 02,81283.26
2895,Mês 02,75601.12
2896,Mês 02,75459.55
2897,Mês 02,80933.96
2898,Mês 02,68926.92
2899,Mês 02,84413.22
2900,Mês 02,79283.26
2901,Mês 02,95762.24
2902,Mês 02,94022.39
2903,Mês 02,77080.21
2904,Mês 02,85143.64
2905,Mês 02,75928.50
2906,Mês 02,91068.41
2907,Mês 02,91850.76
2908,Mês 02,84950.68
2909,Mês 02,71274.75
2910,Mês 02,65967.73
2911,Mês 02,79011.51
2912,Mês 02,90786.64
2913,Mês 02,84492.21
2914,Mês 02,80962.09
2915,Mês 02,76549.84
2916,Mês 02,94933.39
2917,Mês 02,100722.77
2918,Mês 02,78874.85
2919,Mês 02,68950.26
2920,Mês 02,75877.94
2921,Mês 02,86880.18
2922,Mês 02,82362.01
2923,Mês 02,78305.77
2924,Mês 02,62828.40
2925,Mês 02,65021.74
2926,Mês 02,71012.51
2927,Mês 02,83558.83
2928,Mês 02,93905.70
2929,Mês 02,91524.73
2930,Mês 02,86102.24
2931,Mês 02,79724.41
2932,Mês 02,69960.30
2933,Mês 02,85755.46
2934,Mês 02,88419.07
2935,Mês 02,68034.01
2936,Mês 02,77892.09
2937,Mês 02,78465.51
2938,Mês 02,74008.51
2939,Mês 02,67532.64
2940,Mês 02,92513.65
2941,Mês 02,93349.46
2942,Mês 02,72388.87
2943,Mês 02,78711.56
2944,Mês 02,92335.52
2945,Mês 02,68736.68
2946,Mês 02,77763.25
2947,Mês 02,83596.24
2948,Mês 02,75470.00
2949,Mês 02,58660.05
2950,Mês 02,70243.11
2951,Mês 02,85011.99
2952,Mês 02,69479.92
2953,Mês 02,77007.48
2954,Mês 02,79536.17
2955,Mês 02,79443.26
2956,Mês 02,97636.26
2957,Mês 02,79876.72
2958,Mês 02,89329.59
2959,Mês 02,77374.07
2960,Mês 02,89325.74
2961,Mês 02,73849.42
2962,Mês 02,81569.99
2963,Mês 02,84264.17
2964,Mês 02,77297.68
2965,Mês 02,81027.50
2966,Mês 02,82408.92
2967,Mês 02,75580.71
2968,Mês 02,81385.04
2969,Mês 02,70647.44
2970,Mês 02,64651.32
2971,Mês 02,59914.82
2972,Mês 02,97884.59
2973,Mês 02,81563.09
2974,Mês 02,74735.04
2975,Mês 02,84630.77
2976,Mês 02,77970.89
2977,Mês 02,87436.08
2978,Mês 02,85718.03
2979,Mês 02,86592.27
2980,Mês 02,83139.73
2981,Mês 02,77456.55
2982,Mês 02,81541.05
2983,Mês 02,84423.85
2984,Mês 02,75106.09
2985,Mês 02,76953.57
2986,Mês 02,80619.73
2987,Mês 02,65797.87
2988,Mês 02,69651.39
2989,Mês 02,69541.64
2990,Mês 02,90638.13
2991,Mês 02,79496.96
2992,Mês 02,90498.11
2993,Mês 02,71560.35
2994,Mês 02,81570.43
2995,Mês 02,65930.31
2996,Mês 02,91693.27
2997,Mês 02,61031.06
2998,Mês 02,61415.19
2999,Mês 02,75753.53
3000,Mês 02,71085.83
3001,Mês 02,78394.18
3002,Mês 02,80482.56
3003,Mês 02,86231.20
3004,Mês 02,80200.72
3005,Mês 02,68924.32
3006,Mês 02,95990.91
3007,Mês 02,65657.35
3008,Mês 02,75072.57
3009,Mês 02,83198.17
3010,Mês 02,78349.84
3011,Mês 02,89645.42
3012,Mês 02,74724.34
3013,Mês 02,92664.79
3014,Mês 02,60534.01
3015,Mês 02,76624.97
3016,Mês 02,78994.76
3017,Mês 02,93853.60
3018,Mês 02,75121.38
3019,Mês 02,55471.73
3020,Mês 02,82134.92
3021,Mês 02,79343.53
3022,Mês 02,66640.22
3023,Mês 02,66974.24
3024,Mês 02,61615.78
3025,Mês 02,91620.71
3026,Mês 02,62449.10
3027,Mês 02,79134.91
3028,Mês 02,71177.21
3029,Mês 02,69201.09
3030,Mês 02,68828.40
3031,Mês 02,79031.14
3032,Mês 02,82354.00
3033,Mês 02,84582.44
3034,Mês 02,76830.93
3035,Mês 02,58462.54
3036,Mês 02,72649.33
